CO,NO2,O3,SO2,PM2.5,PM10,city,overall_aqi
347.14,31.53,16.09,2.09,7.78,15.99,Boynton Beach,39
283.72,7.11,51.5,0.24,3.03,3.82,Broken Arrow,43
640.87,47.3,4.43,8.82,27.74,31.44,Saint Cloud,74
297.07,10.03,61.51,1.91,3.48,4.54,Chicago,57
337.12,10.11,31.11,1.1,5.4,6.77,Chesapeake,26
287.06,9.17,11.8,0.05,5.5,8.97,Modesto,17
807.76,32.56,0.0,1.94,26.02,33.01,Rancho Cordova,71
280.38,4.03,40.41,0.01,2.55,3.2,Lawton,34
257.02,7.45,79.39,0.38,2.7,4.23,Arvada,110
236.99,2.19,57.94,0.06,4.23,14.47,Surprise,49
273.71,2.42,67.95,0.05,5.03,5.31,Cedar Rapids,77
794.41,45.24,0.0,1.71,27.6,35.1,Quincy,74
260.35,1.56,68.67,0.09,3.83,4.75,Killeen,80
1081.47,108.3,0.0,3.4,36.72,56.57,Newport Beach,116
273.71,1.02,55.79,0.01,3.11,3.89,McAllen,47
303.75,8.4,62.23,1.73,3.75,4.71,Mesquite,60
277.04,4.8,65.8,3.64,1.78,2.01,Longview,71
250.34,4.71,37.55,0.95,1.19,1.46,Atlanta,31
674.25,39.07,0.0,1.25,28.19,40.32,San Leandro,75
947.95,52.09,0.0,3.34,34.35,51.93,Passaic,87
260.35,14.05,46.49,0.24,4.92,16.89,Upland,39
250.34,1.16,67.23,0.05,2.43,3.12,New Braunfels,75
660.9,69.92,0.19,4.11,22.98,41.77,Sunrise Manor,87
410.56,23.31,16.81,2.03,7.2,7.54,Rockville,29
270.37,1.76,67.23,0.19,3.77,4.41,Temple,75
250.34,12.51,40.41,0.76,3.52,10.71,Miami,34
257.02,5.66,57.22,0.11,3.83,12.21,Tucson,48
290.39,9.25,17.17,0.07,6.7,9.7,Napa,21
250.34,12.51,40.41,0.76,3.52,10.71,Miami Beach,34
320.44,31.19,23.6,0.55,7.93,24.91,El Monte,38
400.54,11.31,30.76,0.98,20.81,21.21,O'Fallon,60
213.62,2.08,24.32,0.65,1.26,2.25,Santa Maria,20
230.31,3.56,26.82,0.28,0.82,0.9,Greensboro,22
353.81,13.37,40.77,0.15,3.17,3.58,Missoula,34
293.73,9.17,42.92,0.29,7.26,11.22,Midland,36
223.64,2.55,43.27,0.69,0.91,1.07,Durham,36
473.98,33.24,22.35,0.6,17.14,27.24,Oceanside,53
213.62,2.91,49.35,0.23,2.55,4.8,Poinciana,41
300.41,6.26,57.22,0.49,6.04,6.81,Des Moines,48
240.33,3.86,44.7,0.06,2.79,5.16,Amarillo,37
267.03,2.04,74.39,1.34,4.12,4.45,Lawrence,98
247.0,3.56,28.25,0.07,41.62,44.81,San Ramon,102
340.46,17.99,32.9,0.46,7.18,15.16,Scottsdale,27
257.02,8.4,44.35,1.48,10.06,12.28,Warwick,37
534.06,40.1,0.16,0.45,12.26,15.63,Bridgeport,50
520.71,44.55,20.39,0.93,25.08,28.78,Provo,69
373.84,18.17,29.68,4.83,9.56,11.08,Lake Forest,31
787.74,38.73,0.0,1.12,24.16,29.98,Troy,67
747.68,42.16,0.0,1.28,24.15,29.61,Medford,67
300.41,6.26,57.22,0.49,6.04,6.81,Spring Hill,48
1054.76,69.92,0.0,9.54,42.43,58.21,New York,104
270.37,6.17,50.78,0.39,2.47,2.93,Tulsa,43
247.0,1.84,41.84,0.17,1.78,2.05,Enterprise,35
534.06,59.63,2.35,1.1,13.41,25.72,Jurupa Valley,74
1068.12,64.43,0.0,3.7,38.39,63.35,Downey,95
277.04,2.12,59.37,0.08,3.72,4.33,Harlingen,51
300.41,7.45,41.84,0.61,1.48,1.83,Toms River,35
333.79,12.34,36.12,0.83,1.82,2.52,Everett,30
1081.47,108.3,0.0,3.4,36.72,56.57,Tustin,116
283.72,3.38,47.92,0.17,4.04,4.38,Eau Claire,40
233.65,2.74,67.95,0.89,3.23,8.54,San Tan Valley,77
714.3,79.51,0.15,3.31,31.68,38.21,Salt Lake City,99
480.65,39.07,2.33,3.37,9.84,10.71,Camden,48
383.85,29.82,19.13,1.61,8.41,17.84,Miramar,37
433.92,37.01,6.08,1.25,8.37,9.76,Trenton,46
201.94,0.17,66.52,0.14,1.78,5.58,Carolina,73
427.25,23.99,2.82,0.41,15.85,19.61,Brentwood,50
270.37,3.3,57.22,0.86,2.61,2.88,Corpus Christi,48
313.76,22.62,23.25,1.61,6.57,14.52,West Palm Beach,28
373.84,35.3,13.59,2.53,8.4,16.77,Boca Raton,44
263.69,6.34,60.8,0.9,5.49,9.33,Pueblo,55
247.0,5.27,35.41,3.64,0.97,1.25,Roswell,30
250.34,9.08,72.96,0.53,3.2,11.61,San Bernardino,93
247.0,9.25,51.5,0.12,2.79,9.18,Redlands,43
300.41,6.86,63.66,0.5,3.01,4.0,Arlington,64
420.57,22.62,15.56,1.71,7.49,7.85,Washington,28
280.38,3.68,62.23,1.68,2.42,2.87,Conroe,60
216.96,1.44,78.68,0.81,5.96,10.23,Charleston,109
687.6,71.97,0.41,2.86,22.08,42.69,Laguna Niguel,89
467.3,40.1,10.64,0.78,16.19,17.46,Buffalo,51
211.95,1.56,61.51,0.42,4.46,9.24,Jacksonville,57
667.57,43.53,0.0,0.63,18.05,20.49,Providence,55
507.36,32.22,0.01,0.4,23.8,30.22,Pleasanton,66
473.98,33.24,22.35,0.6,17.14,27.24,Carlsbad,53
320.44,7.45,45.78,1.03,2.86,3.15,Akron,38
417.23,24.33,5.54,0.04,5.21,6.11,Nashua,30
196.93,0.23,57.22,0.16,1.74,4.79,Guaynabo,48
380.52,14.05,27.54,0.83,5.07,5.33,Frederick,23
574.11,62.38,3.35,1.8,18.42,24.41,Denver,77
357.15,22.28,20.03,4.23,8.51,11.42,Oakland,27
714.3,65.8,0.08,1.57,31.31,37.35,Sandy,82
313.76,5.06,51.5,0.4,2.44,2.59,Memphis,43
257.02,5.66,57.22,0.11,3.83,12.21,Casas Adobes,48
514.03,33.59,1.39,0.65,14.73,16.39,Rochester,47
473.98,36.33,2.3,0.76,10.89,17.77,Roseville,45
614.17,42.16,0.01,0.16,13.77,15.74,Framingham,52
327.11,7.28,37.55,0.4,5.56,5.75,South Bend,31
787.74,51.41,0.0,0.98,24.0,27.61,Cranston,67
303.75,7.88,58.65,1.09,2.9,3.61,Spring Valley,49
297.07,7.45,60.8,1.15,3.34,3.96,Garland,55
290.39,7.2,56.51,0.66,6.2,6.27,Muncie,47
226.97,3.17,49.35,0.25,3.29,6.87,Fort Myers,41
260.35,14.05,46.49,0.24,4.92,16.89,Pomona,39
270.37,3.86,70.81,0.16,3.14,3.63,Waco,86
280.38,3.04,64.37,0.81,2.87,3.34,McKinney,66
230.31,1.48,62.94,1.3,0.83,1.06,German,62
640.87,56.21,0.03,2.0,20.06,36.41,Anaheim,70
280.38,4.16,69.38,0.16,2.52,3.31,Fort Worth,82
260.35,3.04,50.07,0.45,1.85,2.07,New Orleans,42
210.29,2.21,44.7,0.26,0.5,0.7,Athens-Clarke County unified government,37
236.99,1.8,82.97,0.08,5.97,23.83,Simi Valley,119
373.84,18.17,29.68,4.83,9.56,11.08,Waukegan,31
211.95,1.61,41.49,0.01,0.5,0.6,Bend,35
